Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/27/2022,12/29/2022,TAPIOCA EXPRESS,Food & Drink,Sale,-17.02,
12/28/2022,12/28/2022,PAYPAL *HBO MAX,Bills & Utilities,Sale,-1.99,
12/22/2022,12/23/2022,HERMANAS HERNANDEZ MARKE,Groceries,Sale,-29.62,
12/21/2022,12/22/2022,McDonalds 778,Food & Drink,Sale,-5.45,
12/21/2022,12/22/2022,McDonalds 778,Food & Drink,Sale,-3.17,
12/22/2022,12/22/2022,Subway 18092,Food & Drink,Sale,-4.34,
12/20/2022,12/21/2022,SANTA CRUZ TOYOTA.,Automotive,Sale,-229.18,
12/20/2022,12/21/2022,CVS/PHARMACY #09332,Health & Wellness,Sale,-25.79,
12/20/2022,12/21/2022,TARGET        00027953,Shopping,Sale,-3.26,
12/20/2022,12/21/2022,WETZELS PRETZELS #456,Food & Drink,Sale,-6.53,
12/20/2022,12/21/2022,SQ *BELLA FRUIT AND DRINK,Food & Drink,Sale,-5.00,
12/19/2022,12/20/2022,PHO 24 VIETNAMESE CUISI,Food & Drink,Sale,-47.79,
12/19/2022,12/20/2022,BEST BUY      00008516,Shopping,Sale,-87.49,
12/19/2022,12/20/2022,Supercuts 83270,Health & Wellness,Sale,-31.05,
12/18/2022,12/20/2022,McDonalds 778,Food & Drink,Sale,-13.66,
12/20/2022,12/20/2022,SQ *TEA VILLA,Food & Drink,Sale,-12.00,
12/18/2022,12/19/2022,SANTA CRUZ GAS &amp; SHOP,Gas,Sale,-29.87,
12/18/2022,12/19/2022,AMZN Mktp US*926NE2IP3,Shopping,Sale,-10.48,
12/17/2022,12/19/2022,CRUZ CAR WASH - SOQUEL,Automotive,Sale,-35.00,
12/19/2022,12/19/2022,COMCAST CALIFORNIA,Bills & Utilities,Sale,-73.00,
12/17/2022,12/18/2022,WINGSTOP 570 OLO,Food & Drink,Sale,-25.32,
12/16/2022,12/18/2022,GRUBHUBBANANABLOSSOMT,Food & Drink,Sale,-14.30,
12/16/2022,12/18/2022,McDonalds 778,Food & Drink,Sale,-2.73,
12/16/2022,12/18/2022,SAFEWAY #2607,Groceries,Sale,-16.17,
12/15/2022,12/16/2022,24 Hour Fitness USA  I,Health & Wellness,Sale,-43.99,
12/15/2022,12/16/2022,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-152.75,
12/15/2022,12/16/2022,CVS/PHARMACY #09331,Health & Wellness,Sale,-16.78,
12/13/2022,12/15/2022,7-ELEVEN 16346,Gas,Sale,-14.94,
12/14/2022,12/15/2022,AMZN Mktp US*HB7Y097P3,Shopping,Sale,-27.97,
12/15/2022,12/15/2022,Subway 14313,Food & Drink,Sale,-7.09,
12/14/2022,12/14/2022,PAYPAL *RIOTGAMESIN,Entertainment,Sale,-4.99,
12/12/2022,12/14/2022,ROSS STORES #187,Shopping,Sale,-20.06,
12/12/2022,12/13/2022,7-ELEVEN 16346,Gas,Sale,-3.75,
12/12/2022,12/13/2022,AMZN Mktp US*J36ME1913,Shopping,Sale,-14.19,
12/11/2022,12/12/2022,AMZN Mktp US*K501Z7HS3,Shopping,Sale,-13.38,
12/11/2022,12/12/2022,TAQUERIA VALLARTA # 5,Food & Drink,Sale,-13.10,
12/09/2022,12/11/2022,CARLS JR,Food & Drink,Sale,-16.43,
12/09/2022,12/11/2022,SANTA CRUZ GROCERY,Groceries,Sale,-21.67,
12/10/2022,12/11/2022,BURGER KING #4447,Food & Drink,Sale,-2.19,
12/09/2022,12/11/2022,Amazon Prime*3527P3SZ3,Bills & Utilities,Sale,-8.18,
12/09/2022,12/11/2022,SAFEWAY #0799,Groceries,Sale,-32.28,
12/08/2022,12/09/2022,CHEVRON 0090499,Gas,Sale,-43.78,
12/07/2022,12/09/2022,McDonalds 778,Food & Drink,Sale,-5.45,
12/08/2022,12/08/2022,PAYPAL *RIOTGAMESIN,Entertainment,Sale,-0.94,
12/07/2022,12/07/2022,Payment Thank You-Mobile,,Payment,117.43,
12/06/2022,12/07/2022,PAYPAL *ALFY,Professional Services,Return,2.45,
12/04/2022,12/05/2022,AMZN Mktp US*BY31I28Q3,Shopping,Sale,-9.82,
12/03/2022,12/05/2022,PIPE LINE,Shopping,Sale,-9.83,
12/03/2022,12/05/2022,7-ELEVEN 16346,Gas,Sale,-3.05,
12/04/2022,12/04/2022,WINGSTOP 570 OLO,Food & Drink,Sale,-19.64,
12/02/2022,12/04/2022,IN N OUT BURGER 194,Food & Drink,Sale,-7.88,
12/03/2022,12/04/2022,WESTSIDE HARDWARE,Home,Sale,-0.90,
12/02/2022,12/04/2022,SAFEWAY #2607,Groceries,Sale,-51.23,
12/04/2022,12/04/2022,AMZN Mktp US*BY9W11MW3,Shopping,Sale,-10.91,
12/03/2022,12/04/2022,McDonalds 778,Food & Drink,Sale,-2.18,
11/28/2022,11/28/2022,Payment Thank You-Mobile,,Payment,259.77,
11/28/2022,11/28/2022,PAYPAL *HBO MAX,Bills & Utilities,Sale,-1.99,
11/26/2022,11/27/2022,McDonalds 778,Food & Drink,Sale,-3.27,
11/25/2022,11/27/2022,PAYPAL *EBAY US,Shopping,Sale,-22.89,
11/25/2022,11/27/2022,GOOGLE *Zoosk,Shopping,Sale,-8.99,
11/26/2022,11/27/2022,McDonalds 778,Food & Drink,Sale,-5.45,
11/25/2022,11/27/2022,PETSMART # 0073,Shopping,Sale,-51.87,
11/27/2022,11/27/2022,Amazon.com*HW9SN0XQ2,Shopping,Sale,-7.08,
11/26/2022,11/27/2022,COSTCO WHSE #0149,Shopping,Sale,-38.54,
11/26/2022,11/27/2022,COSTCO WHSE #0149,Shopping,Sale,-4.06,
11/25/2022,11/27/2022,SAFEWAY #2607,Groceries,Sale,-36.86,
11/26/2022,11/27/2022,BURGER KING #4447,Food & Drink,Sale,-7.09,
