TransactionDate,Description,Category,Type,Amount
12/15/2024,BA ELECTRONIC PAYMENT,,Sale,127.94
12/12/2024,OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA,,Sale,-20.00
