Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/08/2024,11/10/2024,DIGBY'S MARKET,Groceries,Sale,-15.78,
11/08/2024,11/10/2024,BEST BUY      00008912,Shopping,Sale,-76.39,
11/07/2024,11/08/2024,ICE CREAM FACTORY,Food & Drink,Sale,-1.90,
11/06/2024,11/07/2024,PERFORMANCE FITNESS - 2 -,Health & Wellness,Sale,-32.01,
11/02/2024,11/04/2024,ST. GEORGE SHUTTLE,Travel,Sale,-47.90,
11/03/2024,11/04/2024,DIGBY'S MARKET,Groceries,Sale,-4.12,
11/03/2024,11/04/2024,COSTCO WHSE #0672,Shopping,Sale,-6.97,
11/02/2024,11/04/2024,CHICK-FIL-A #03006,Food & Drink,Sale,-15.81,
11/01/2024,11/03/2024,KFC/AW #526,Food & Drink,Sale,-16.45,
11/01/2024,11/03/2024,DIGBY'S MARKET,Groceries,Sale,-50.92,
11/02/2024,11/03/2024,Amazon web services,Personal,Sale,-17.59,
10/31/2024,11/03/2024,CHICK-FIL-A #03006,Food & Drink,Sale,-15.97,
10/31/2024,10/31/2024,Subway 30708,Food & Drink,Sale,-14.00,
10/30/2024,10/31/2024,SPEEDWAY 09418 1925 W SUN,Gas,Sale,-2.77,
10/30/2024,10/30/2024,Payment Thank You-Mobile,,Payment,669.74,
10/30/2024,10/30/2024,ALFREDOSSANTACLARA.COM,Food & Drink,Sale,-9.73,
10/27/2024,10/29/2024,McDonalds 20759,Food & Drink,Sale,-7.63,
10/27/2024,10/28/2024,McDonalds 20759,Food & Drink,Sale,-6.01,
10/25/2024,10/27/2024,COSTCO WHSE #0672,Shopping,Sale,-10.19,
10/26/2024,10/27/2024,DIGBY'S MARKET,Groceries,Sale,-48.11,
10/24/2024,10/27/2024,ST. GEORGE SHUTTLE,Travel,Sale,-47.90,
10/24/2024,10/25/2024,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-21.35,
10/24/2024,10/25/2024,APPLE.COM/BILL,Shopping,Sale,-2.99,
10/24/2024,10/25/2024,AIRBNB * HMQAFPDYRB,Travel,Sale,-180.20,
10/21/2024,10/23/2024,CHICK-FIL-A #04568,Food & Drink,Sale,-12.48,
10/22/2024,10/23/2024,HARMONS-SANTA CLARA,Groceries,Sale,-12.79,
10/22/2024,10/23/2024,HARMONS-SANTA CLARA,Groceries,Sale,-4.11,
10/22/2024,10/23/2024,AMAZON MKTPL*5J8VJ5SK3,Shopping,Sale,-38.28,
10/22/2024,10/23/2024,McDonalds 20759,Food & Drink,Sale,-12.80,
10/21/2024,10/22/2024,FIESTA FUN CENTER WEB,Entertainment,Sale,-70.29,
10/19/2024,10/21/2024,MEGAPLEX AT PINEVIEW,Entertainment,Sale,-35.22,
10/18/2024,10/20/2024,FAMILY DOLLAR,Shopping,Sale,-5.61,
10/19/2024,10/20/2024,HARMONS-SANTA CLARA,Groceries,Sale,-12.51,
10/18/2024,10/20/2024,DIGBY'S MARKET,Groceries,Sale,-14.47,
10/18/2024,10/20/2024,COSTCO WHSE #0672,Shopping,Sale,-88.06,
10/18/2024,10/20/2024,IN-N-OUTWASHINGTONCITY,Food & Drink,Sale,-17.40,
10/17/2024,10/18/2024,O'REILLY 6212,Automotive,Sale,-5.33,
10/17/2024,10/18/2024,CHEVRON 0385252,Gas,Sale,-5.17,
10/14/2024,10/15/2024,Payment Thank You - Web,,Payment,525.57,
10/12/2024,10/14/2024,McDonalds 26091,Food & Drink,Sale,-10.84,
10/10/2024,10/13/2024,O'REILLY 6212,Automotive,Sale,-50.15,
10/12/2024,10/13/2024,DIGBY'S MARKET,Groceries,Sale,-2.05,
10/13/2024,10/13/2024,Subway 30708,Food & Drink,Sale,-7.85,
10/11/2024,10/13/2024,CARLS JR 1101940 ONLINE,Food & Drink,Sale,-4.83,
10/12/2024,10/13/2024,DIGBY'S MARKET,Groceries,Sale,-36.26,
10/11/2024,10/13/2024,COSTCO WHSE #0672,Shopping,Sale,-79.57,
10/12/2024,10/13/2024,SQ *LEMONADE - ICE CREAM,Food & Drink,Sale,-5.00,
10/11/2024,10/13/2024,AUTOZONE #5955,Automotive,Sale,-16.01,
10/12/2024,10/13/2024,TICKETS 110171485,Entertainment,Sale,-40.00,
10/11/2024,10/13/2024,COSTCO WHSE #0672,Shopping,Sale,-5.03,
10/11/2024,10/13/2024,MAVERIK #620,Gas,Sale,-21.29,
10/11/2024,10/13/2024,DIGBY'S MARKET,Groceries,Sale,-41.25,
10/11/2024,10/13/2024,FAMILY DOLLAR,Shopping,Sale,-3.45,
10/08/2024,10/10/2024,CHICK-FIL-A #03006,Food & Drink,Sale,-15.17,
