Transaction Date,Description,Category,Type,Amount
9/28/2024,CARLS JR 1101940 ONLINE,Food & Drink,Sale,-13.72
9/28/2024,TST* XETAVA GARDENS CAFE,Food & Drink,Sale,-26.72
9/28/2024,DIGBY'S MARKET,Groceries,Sale,-36.09
9/27/2024,DIGBY'S MARKET,Groceries,Sale,-21.18
9/26/2024,COSTCO WHSE #0672,Shopping,Sale,-6.44
9/26/2024,COSTCO WHSE #0672,Shopping,Sale,-63.78
9/24/2024,MEN678 MENCHIES DINOSA,Food & Drink,Sale,-11.95
9/25/2024,SP WOOTING STORE US,Shopping,Sale,-219.49
9/24/2024,DIGBY'S MARKET,Groceries,Sale,-15.32
9/24/2024,APPLE.COM/BILL,Shopping,Sale,-2.99
9/23/2024,McDonalds 20759,Food & Drink,Sale,-5.39
9/22/2024,ROCKY VISTA HEALTH CENTER,Health & Wellness,Sale,-83.16
9/20/2024,PAYPAL *STEAM GAMES,Entertainment,Sale,-5
9/20/2024,HARMONS-SANTA CLARA,Groceries,Sale,-23.22
9/21/2024,DIGBY'S MARKET,Groceries,Sale,-44.65
9/20/2024,COSTCO WHSE #0672,Shopping,Sale,-103.02
9/20/2024,CHICK-FIL-A #03006,Food & Drink,Sale,-12.8
9/20/2024,COSTCO WHSE #0672,Shopping,Sale,-8.58
9/20/2024,FAMILY DOLLAR,Shopping,Sale,-8.24
9/19/2024,FRONTIER AI BFHVHD,Travel,Sale,-124.96
9/18/2024,McDonalds 20759,Food & Drink,Sale,-5.93
9/19/2024,ISLAND GRINDS - NZ0,Food & Drink,Sale,-19.32
9/18/2024,SPEEDWAY 09418 1925 W SUN,Gas,Sale,-29.94
9/18/2024,SPEEDWAY 09418 1925 W SUN,Gas,Sale,-6.06
9/17/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,620.21
9/16/2024,McDonalds 20759,Food & Drink,Sale,-13.77
9/16/2024,DIGBY'S MARKET,Groceries,Sale,-21.97
9/14/2024,McDonalds 2929,Food & Drink,Sale,-5.39
9/15/2024,LS IBB CYCLERY &amp; MULTI,Shopping,Sale,-23.49
9/12/2024,CHICK-FIL-A #03006,Food & Drink,Sale,-16.19
9/13/2024,DIGBY'S MARKET,Groceries,Sale,-24.67
9/13/2024,LOWES #01118*,Home,Sale,-19.19
9/13/2024,ROSS STORES #616,Shopping,Sale,-37.34
9/13/2024,TARGET        00013573,Shopping,Sale,-18.66
9/13/2024,Dicks Sporting Goods,Shopping,Sale,-32.01
9/13/2024,GOLDEN CORRAL 2496,Food & Drink,Sale,-17.22
9/11/2024,DIGBY'S MARKET,Groceries,Sale,-11.09
9/11/2024,Payment Thank You-Mobile,,Payment,1120.4
9/10/2024,D.U.B.'S BBQ,Food & Drink,Sale,-23.98
9/9/2024,CHEVRON 0385252,Gas,Sale,-32.75
9/9/2024,JACK IN THE BOX 5478,Food & Drink,Sale,-13.58
9/9/2024,TN SERV FEE DIXIE STATE U,Education,Sale,-7.38
9/9/2024,DIGBY'S MARKET,Groceries,Sale,-33.07
9/9/2024,LS IBB CYCLERY &amp; MULTI,Shopping,Sale,-16.43
9/9/2024,COSTCO WHSE #0672,Shopping,Sale,-66.25
9/9/2024,ARCO #42534 AMPM,Gas,Sale,-28.71
9/9/2024,Amazon Prime*ZT1K537H1,Bills & Utilities,Sale,-16.45
9/9/2024,COSTCO WHSE #0672,Shopping,Sale,-8.58
9/7/2024,RITE AID 05658,Health & Wellness,Sale,-6.58
9/8/2024,DIXIE STATE UNIVERSITY-MP,Education,Sale,-250
9/7/2024,VONS #2370,Groceries,Sale,-5.43
9/7/2024,CARLS JR 1100692,Food & Drink,Sale,-14.26
9/7/2024,76 - BARSTOW FUELS 76,Gas,Sale,-41.1
9/7/2024,BURGER KING #10527,Food & Drink,Sale,-11.83
9/6/2024,McDonalds 20759,Food & Drink,Sale,-8.5
9/4/2024,CARLS JR 1101940 ONLINE,Food & Drink,Sale,-13.13
8/31/2024,PAYPAL *JAGEX LTD,Entertainment,Sale,-8.99
