Transaction Date,Description,Category,Type,Amount
10/10/2024,STEPHEN WADE TOYOTA,Automotive,Sale,-70.86
10/8/2024,FUSION SPECIALTY PHARMACY,Health & Wellness,Sale,-150
10/7/2024,BEANS&amp;BREWSCOFFEEHOUSE,Food & Drink,Sale,-5.87
10/5/2024,WAL-MART #3220,Groceries,Return,16.34
10/4/2024,SMITHS #4278,Groceries,Sale,-25.88
10/5/2024,WAL-MART #3220,Groceries,Sale,-25.66
10/4/2024,BEANS&amp;BREWSCOFFEEHOUSE,Food & Drink,Sale,-6.09
10/4/2024,Payment Thank You-Mobile,,Payment,163.08
10/3/2024,WAL-MART #3220,Groceries,Sale,-33.72
10/3/2024,Southwest Skin and Can,Health & Wellness,Sale,-38.01
9/29/2024,RED MOUNTAIN MARKET,Groceries,Sale,-1.73
9/29/2024,COSTCO WHSE #0672,Shopping,Sale,-91.51
9/26/2024,COSTCO GAS #0672,Gas,Sale,-28.57
9/25/2024,CVSExtraCare 8007467287RI,Health & Wellness,Sale,-5.49
9/24/2024,SMITHS #4278,Groceries,Sale,-6.35
9/19/2024,DRIVER LICENSE DIXIE,Bills & Utilities,Sale,-18
9/19/2024,DRIVER LICENSE DIXIE,Bills & Utilities,Sale,-52
9/19/2024,DRIVER LICENSE DIXIE,Bills & Utilities,Sale,-52
9/19/2024,PHR*SouthernUtahEarNose&amp;T,Health & Wellness,Sale,-40
9/19/2024,FAMILY DOLLAR,Shopping,Sale,-5.41
9/18/2024,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-5.99
9/17/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,194.88
9/16/2024,Red Rock Dry Cleaners,Personal,Sale,-13.97
9/15/2024,TRUDYS SPOT,Food & Drink,Sale,-3.39
9/15/2024,TST*RIVER ROCK ROASTING,Food & Drink,Sale,-6.58
9/15/2024,Spotify USA,Bills & Utilities,Sale,-5.99
9/14/2024,APPLE.COM/BILL,Shopping,Sale,-20.98
9/11/2024,Payment Thank You-Mobile,,Payment,86.21
9/4/2024,ROCKY VISTA HEALTH CENTER,Health & Wellness,Return,22.8
9/9/2024,ROCKY VISTA HEALTH CENTER,Health & Wellness,Sale,-40
9/7/2024,76 - BARSTOW FUELS 76,Gas,Sale,-4.72
9/5/2024,USPS PO 4985000769,Shopping,Sale,-12.15
9/5/2024,CHEVRON 0385252,Gas,Sale,-26.75
9/3/2024,HARMONS-SANTA CLARA,Groceries,Sale,-20
