TransactionDate,Description,Category,Type,Amount
11/05/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,43.82
11/03/2023,HARMONS-SANTA CLARA,Groceries,Sale,-68.5
11/01/2023,AMZN Mktp US*VI1603QB3,Shopping,Sale,-69.37
10/31/2023,WENDY'S # 5601,Food & Drink,Sale,-13.24
10/31/2023,JOY PARK FLY,Travel,Sale,-71.51
10/30/2023,MARINIS CANDIES ON THE WH,Food & Drink,Sale,-16.91
10/31/2023,HARMONS-SANTA CLARA,Groceries,Sale,-90.4
10/31/2023,7-ELEVEN 16346,Gas,Sale,-9.24
10/31/2023,HARMONS-SANTA CLARA,Groceries,Sale,-18.75
10/30/2023,AMZN Mktp US*9U6YG6QX3,Shopping,Sale,-31.04
10/29/2023,CVS/PHARMACY #09331,Health & Wellness,Sale,-8.12
10/28/2023,SAFEWAY #2607,Groceries,Sale,-25.71
10/29/2023,McDonalds 778,Food & Drink,Sale,-6.85
10/28/2023,82858 - TERMINAL A EMPLOY,Travel,Sale,-54.0
10/28/2023,Amazon.com*475LQ2IE3,Shopping,Sale,-11.14
10/27/2023,RED MOUNTAIN MARKET,Groceries,Sale,-3.48
10/28/2023,SANTA CRUZ GAS &amp; SHOP,Gas,Sale,-32.2
10/28/2023,TST* Sam and Curry 1 new,Food & Drink,Sale,-13.07
10/27/2023,RED MOUNTAIN MARKET,Groceries,Sale,-6.05
10/27/2023,FAMILY DOLLAR,Shopping,Sale,-22.65
10/28/2023,COSTCO WHSE #0149,Shopping,Sale,-35.05
10/25/2023,CHICK-FIL-A TERM B SJC,Food & Drink,Sale,-16.41
10/25/2023,Amazon.com*DV22N94G3,Shopping,Sale,-11.68
10/25/2023,SQ *VAMPIRE BATTLE MANSIO,Personal,Sale,-153.27
10/24/2023,APPLE.COM/BILL,Shopping,Sale,-2.99
10/24/2023,AMZN Mktp US*ZI2YZ51A3,Shopping,Sale,-6.38
10/22/2023,SPIRIT AIRL 4870367889942,Travel,Sale,-237.56
10/22/2023,ST GEORGE  SHUTTLE,Travel,Sale,-247.6
10/22/2023,SPIRIT AIRL 4870367887960,Travel,Sale,-237.56
10/22/2023,McDonalds 778,Food & Drink,Sale,-7.18
10/20/2023,SAFEWAY #0799,Groceries,Sale,-15.34
10/20/2023,SANTA CRUZ GROCERY,Groceries,Sale,-35.49
10/19/2023,US PRO GAS,Gas,Sale,-46.48
10/19/2023,COMCAST CALIFORNIA,Bills & Utilities,Sale,-76.0
10/18/2023,WESTSIDE FIT-BOXING,Health & Wellness,Sale,-170.0
10/18/2023,AMZN Mktp US*TP5OD75I1,Shopping,Sale,-139.24
10/16/2023,7-ELEVEN 16346,Gas,Sale,-6.78
10/15/2023,SAFEWAY #2607,Groceries,Sale,-19.4
10/15/2023,Amazon.com*TP3PP2KD0,Shopping,Sale,-6.48
10/15/2023,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-173.64
10/15/2023,24 Hour Fitness USA  I,Health & Wellness,Sale,-43.99
10/13/2023,SAFEWAY #2607,Groceries,Sale,-56.53
10/13/2023,PAYPAL *FRONTGATETX SICKN,Entertainment,Sale,-19.99
10/14/2023,BURGER KING #4447,Food & Drink,Sale,-12.2
10/14/2023,PAYPAL *AGASERVICEC ALLIA,Bills & Utilities,Sale,-57.64
10/13/2023,CVS/PHARMACY #09332,Health & Wellness,Sale,-45.33
10/13/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,65.85
10/11/2023,STARBUCKS STORE 51096,Food & Drink,Sale,-4.95
10/13/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.0
10/10/2023,WESTSIDE FIT-BOXING,Health & Wellness,Sale,-79.0
10/09/2023,Amazon Prime*TE1V47MH0,Bills & Utilities,Sale,-16.38
10/08/2023,7-ELEVEN 16346,Gas,Sale,-4.98
10/08/2023,PAYPAL *STEAM GAMES,Entertainment,Sale,-69.99
10/08/2023,McDonalds 778,Food & Drink,Sale,-6.85
10/07/2023,WWW COSTCO COM,Shopping,Return,179.79
10/06/2023,BURGER KING #4447,Food & Drink,Sale,-7.09
10/07/2023,LYFT   *1 RIDE 10-05,Travel,Sale,-55.84
10/07/2023,7-ELEVEN 16346,Gas,Sale,-5.28
10/06/2023,SAFEWAY #2607,Groceries,Sale,-41.88
10/05/2023,LYFT   *1 RIDE 10-04,Travel,Sale,-16.8
10/03/2023,Amazon.com*T96DV9YL2,Shopping,Sale,-58.48
10/01/2023,AMZN Mktp US*T97V452J2,Shopping,Sale,-7.63
09/30/2023,FAMILY DOLLAR,Shopping,Sale,-29.52
09/30/2023,RED MOUNTAIN MARKET,Groceries,Sale,-51.22
09/28/2023,VendingCustomerService.co,Shopping,Sale,-7.04
09/28/2023,AMZN Mktp US*T99X560D2,Shopping,Sale,-67.04
09/28/2023,JOY PARK FLY,Travel,Sale,-56.13
09/27/2023,AMERIPAK,Gas,Sale,-36.7
09/27/2023,SALT LAKE EXPRESS,Travel,Sale,-155.65
09/25/2023,PIZZA MY HEART,Food & Drink,Sale,-34.47
09/26/2023,SQ *SNOW BOBA,Food & Drink,Sale,-12.58
09/25/2023,US PRO GAS,Gas,Sale,-39.52
09/24/2023,7-ELEVEN 16346,Gas,Sale,-9.59
09/23/2023,SAFEWAY #2607,Groceries,Sale,-21.29
09/24/2023,HERNANDEZ MARKET #2,Groceries,Sale,-9.08
09/24/2023,APPLE.COM/BILL,Shopping,Sale,-2.99
09/24/2023,McDonalds 778,Food & Drink,Sale,-6.85
09/22/2023,SAFEWAY #2607,Groceries,Sale,-58.18
09/23/2023,AMZN Mktp US*T16J94HB2,Shopping,Sale,-13.09
09/22/2023,Subway 14313,Food & Drink,Sale,-9.48
09/20/2023,PARCHMENT-UNIV DOCS,Professional Services,Sale,-25.0
09/20/2023,PARCHMENT-UNIV DOCS,Professional Services,Sale,-7.5
09/18/2023,BURGER KING #4447,Food & Drink,Sale,-5.66
09/17/2023,SAFEWAY #2607,Groceries,Sale,-36.45
09/19/2023,COMCAST CALIFORNIA,Bills & Utilities,Sale,-76.0
09/17/2023,McDonalds 778,Food & Drink,Sale,-2.4
09/17/2023,McDonalds 778,Food & Drink,Sale,-6.42
09/15/2023,24 Hour Fitness USA  I,Health & Wellness,Sale,-43.99
09/16/2023,7-ELEVEN 16346,Gas,Sale,-4.88
09/15/2023,BURGER KING #4447,Food & Drink,Sale,-8.73
