TransactionDate,Description,Category,Type,Amount
11/23/2024,WAL-MART #3220,Groceries,Sale,-27.89
11/23/2024,WALMART.COM,Shopping,Sale,-11.95
11/14/2024,ST GEORGE HOSPITAL CAFE,Food & Drink,Sale,-5.84
11/18/2024,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-5.99
11/18/2024,APPLE.COM/BILL,Shopping,Sale,-5.99
11/16/2024,PREMIER YAR,Shopping,Sale,-13.97
11/16/2024,PAULAS CAZUELA INC,Food & Drink,Sale,-16.0
11/15/2024,COSTCO GAS #0672,Gas,Sale,-24.42
11/16/2024,DIGBY'S MARKET,Groceries,Sale,-15.32
11/14/2024,MICHAELS STORES 1601,Shopping,Sale,-12.76
11/15/2024,Spotify USA,Bills & Utilities,Sale,-5.99
11/12/2024,ST GEORGE HOSPITAL CAFE,Food & Drink,Sale,-2.92
11/05/2024,MOBETTAHS ST GEORGE 17,Food & Drink,Sale,-15.82
11/05/2024,LYFT   *1 RIDE 11-03,Travel,Sale,-36.99
11/03/2024,BURGER KING LAS,Food & Drink,Sale,-5.19
11/03/2024,STARBUCKS T3 SOUTH PHX,Food & Drink,Sale,-1.6
11/03/2024,COSTCO WHSE #0672,Shopping,Sale,-56.1
11/03/2024,UBER   *TRIP,Travel,Sale,-11.73
11/03/2024,CHEVRON 0385252,Gas,Sale,-29.24
11/01/2024,WESTIN KIERLAND DINING,Food & Drink,Sale,-5.16
11/03/2024,LYFT   *2 RIDES 11-01,Travel,Sale,-22.83
11/02/2024,UBER   *TRIP,Travel,Sale,-9.89
10/31/2024,SPIRIT AIRL 4870414349373,Travel,Sale,-79.0
11/02/2024,LYFT   *2 RIDES 10-31,Travel,Sale,-93.2
10/27/2024,HARMONS-SANTA CLARA,Groceries,Sale,-9.29
10/25/2024,COSTCO WHSE #0672,Shopping,Sale,-35.5
10/25/2024,CVSExtraCare 8007467287RI,Health & Wellness,Sale,-5.49
10/22/2024,BEANS &amp; BREWS 904,Food & Drink,Sale,-5.17
10/21/2024,APPLE.COM/BILL,Shopping,Sale,-5.99
10/19/2024,HARMONS-SANTA CLARA,Groceries,Sale,-3.22
10/17/2024,TACO BELL 737684,Food & Drink,Sale,-1.5
10/18/2024,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-5.99
10/15/2024,CHEVRON 0385252,Gas,Sale,-31.58
10/13/2024,O'REILLY 6212,Automotive,Return,50.15
10/15/2024,Spotify USA,Bills & Utilities,Sale,-5.99
10/10/2024,STEPHEN WADE TOYOTA,Automotive,Sale,-70.86
10/08/2024,FUSION SPECIALTY PHARMACY,Health & Wellness,Sale,-150.0
10/07/2024,BEANS&amp;BREWSCOFFEEHOUSE,Food & Drink,Sale,-5.87
10/05/2024,WAL-MART #3220,Groceries,Return,16.34
10/04/2024,SMITHS #4278,Groceries,Sale,-25.88
10/05/2024,WAL-MART #3220,Groceries,Sale,-25.66
10/04/2024,BEANS&amp;BREWSCOFFEEHOUSE,Food & Drink,Sale,-6.09
10/03/2024,WAL-MART #3220,Groceries,Sale,-33.72
10/03/2024,Southwest Skin and Can,Health & Wellness,Sale,-38.01
09/29/2024,RED MOUNTAIN MARKET,Groceries,Sale,-1.73
09/29/2024,COSTCO WHSE #0672,Shopping,Sale,-91.51
09/26/2024,COSTCO GAS #0672,Gas,Sale,-28.57
09/25/2024,CVSExtraCare 8007467287RI,Health & Wellness,Sale,-5.49
09/24/2024,SMITHS #4278,Groceries,Sale,-6.35
09/19/2024,DRIVER LICENSE DIXIE,Bills & Utilities,Sale,-18.0
09/19/2024,DRIVER LICENSE DIXIE,Bills & Utilities,Sale,-52.0
09/19/2024,DRIVER LICENSE DIXIE,Bills & Utilities,Sale,-52.0
09/19/2024,PHR*SouthernUtahEarNose&amp;T,Health & Wellness,Sale,-40.0
09/19/2024,FAMILY DOLLAR,Shopping,Sale,-5.41
09/18/2024,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-5.99
09/17/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,194.88
09/16/2024,Red Rock Dry Cleaners,Personal,Sale,-13.97
09/15/2024,TRUDYS SPOT,Food & Drink,Sale,-3.39
09/15/2024,TST*RIVER ROCK ROASTING,Food & Drink,Sale,-6.58
09/15/2024,Spotify USA,Bills & Utilities,Sale,-5.99
09/14/2024,APPLE.COM/BILL,Shopping,Sale,-20.98
09/04/2024,ROCKY VISTA HEALTH CENTER,Health & Wellness,Return,22.8
09/09/2024,ROCKY VISTA HEALTH CENTER,Health & Wellness,Sale,-40.0
09/07/2024,76 - BARSTOW FUELS 76,Gas,Sale,-4.72
09/05/2024,USPS PO 4985000769,Shopping,Sale,-12.15
09/05/2024,CHEVRON 0385252,Gas,Sale,-26.75
09/03/2024,HARMONS-SANTA CLARA,Groceries,Sale,-20.0
