Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/29/2024,12/30/2024,76 - GSE 2709842,Gas,Sale,-15.77,
12/26/2024,12/27/2024,COSTCO GAS #0469,Gas,Sale,-36.06,
12/26/2024,12/27/2024,COSTCO WHSE #0469,Shopping,Sale,-5.95,
12/25/2024,12/26/2024,CVSExtraCare 8007467287RI,Health & Wellness,Sale,-5.49,
12/23/2024,12/25/2024,ARCO #42187,Gas,Sale,-36.96,
12/23/2024,12/25/2024,7-ELEVEN 37950,Gas,Sale,-2.29,
12/21/2024,12/23/2024,TAYLOR ANDREWS ACADEMY -,Health & Wellness,Sale,-35.00,
12/19/2024,12/22/2024,DICKEYS BBQ UT0355,Food & Drink,Sale,-14.63,
12/19/2024,12/22/2024,TARGET        00013573,Shopping,Sale,-29.18,
12/21/2024,12/22/2024,MAVERIK #680,Gas,Sale,-26.57,
12/21/2024,12/22/2024,SQ *PAWS THRIFT STORE,Groceries,Sale,-14.80,
12/19/2024,12/22/2024,TAYLOR ANDREWS ACADEMY -,Health & Wellness,Sale,-20.00,
12/19/2024,12/20/2024,WAL-MART #3220,Groceries,Sale,-24.30,
12/18/2024,12/19/2024,APPLE.COM/BILL,Shopping,Sale,-5.99,
12/18/2024,12/19/2024,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-5.99,
12/16/2024,12/17/2024,HARMONS-SANTA CLARA,Groceries,Sale,-13.24,
12/16/2024,12/17/2024,HARMONS-SANTA CLARA,Groceries,Sale,-16.70,
12/14/2024,12/16/2024,THE HOME DEPOT #4420,Home,Sale,-45.86,
12/15/2024,12/15/2024,Spotify USA,Bills & Utilities,Sale,-5.99,
12/03/2024,12/05/2024,TACO BELL 725385,Food & Drink,Sale,-3.22,
12/02/2024,12/04/2024,ST GEORGE DI,Shopping,Sale,-32.00,
12/03/2024,12/04/2024,COSTCO GAS #0672,Gas,Sale,-27.12,
12/02/2024,12/03/2024,SP GOOD-STORE-DFTBA,Shopping,Sale,-63.63,
11/29/2024,12/01/2024,76 - RAMA MANAGEMENT I,Gas,Sale,-10.29,
11/29/2024,12/01/2024,PILOT_00282,Gas,Sale,-16.74,
11/29/2024,12/01/2024,PILOT 282,Gas,Sale,-2.99,
11/28/2024,11/29/2024,CHEVRON 0378246,Gas,Sale,-32.24,
11/27/2024,11/28/2024,MAVERIK #680,Gas,Sale,-20.69,
11/26/2024,11/27/2024,Payment Thank You - Web,,Payment,77.12,
11/26/2024,11/27/2024,SWITCHPOINT COFFEE CO,Food & Drink,Sale,-4.31,
